SnowTrack8Data_Begin			
	Name	New track	
	GameMode	Race	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[230,235,240]	
	FogRange	[25,600]	
	Skybox	MountainsDusk	
	PlayerCar	[#car: "Player", #position: vector(33.8536,-64.0987,3.69984), #orientation: [0.06,0.00,0.01,1.00]]	
	AICar	[#car: "NissanRival", #position: vector(23.0843,-65.6679,3.61837), #orientation: [0.05,0.00,0.01,1.00]]	
	AICar	[#car: "MustangRival", #position: vector(35.5825,-47.5729,5.90366), #orientation: [0.07,-0.13,0.01,0.99]]	
	AICar	[#car: "Porsche", #position: vector(25.6537,-47.1908,6.00438), #orientation: [0.07,-0.13,0.01,0.99]]	
SnowTrack8Data_End			
			
SnowTrack8Build_Begin			
	CreateTile	SnowAssets	[#type: "SnowCastle", #aipath: ["SnowCastle"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (43.2411,2.29644,10.8719), [0.03,0.13,-0.01,0.99] ]], #CrateBig_Object: [[vector (44.9126,0.667912,10.8255), [0.02,0.38,-0.02,0.92] ]]]
	CreateTile	SnowAssets	[#type: "SnowUnique1", #aipath: ["SnowUnique1"], #direction: "SouthEast", #position: vector(20.1012,250.009,14.7268), #CrateSmall_Object: [[vector (19.8649,203.439,19.2232), [0.04,0.38,-0.02,0.92] ]], #OilDrumNormal_Object: [[vector (49.6952,320.864,24.7273), [0.00,0.26,0.00,0.97] ], [vector (49.7807,321.139,26.4885), [0.00,0.26,0.00,0.97] ]], #OilDrumExplosive_Object: [[vector (21.6066,204.294,19.2866), [0.04,0.13,-0.01,0.99] ]], #DirectionArrows_Object: [[vector (33.8337,337.536,24.7273), [0.00,0.00,0.00,1.00] ], [vector (46.0592,337.741,24.7273), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (42.2988,248.212,22.8249), [0.03,-0.12,0.00,0.99] ]]]
	CreateTile	SnowAssets	[#type: "SnowTunnelHorizontal", #aipath: ["SnowTunnelHorizontal"], #direction: "WestEast", #position: vector(255.052,330.018,24.7081), #CrateSmall_Object: [[vector (223.98,322.704,23.1441), [0.01,0.38,0.01,0.92] ]], #OilDrumNormal_Object: [[vector (227.085,322.383,23.0513), [0.00,0.00,0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (271.965,338.68,21.727), [0.00,0.00,0.01,1.00] ], [vector (282.585,338.79,21.4257), [0.01,0.38,0.01,0.92] ], [vector (275.031,337.378,21.6451), [0.01,0.50,0.01,0.87] ]], #TruckRed: [[vector (206.472,335.749,23.644), [0.01,0.72,0.01,0.69] ]], #Nitro_PickUp: [[vector (224.292,330.067,24.6114), [-0.01,-0.73,0.01,0.68] ]]]
