DesertTrack13Data_Begin			
	Name	New track	
	GameMode	BossBattle	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[123,89,68]	
	FogRange	[25,600]	
	Skybox	DesertYellow	
	PlayerCar	[#car: "Player", #position: vector(-3.73781,-27.0508,-0.000392312), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "TankBoss", #position: vector(-94.2547,143.17,18.9392), #orientation: [-0.02,-0.40,-0.04,0.92]]	
DesertTrack13Data_End			
			
DesertTrack13Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "SouthNorth", #position: vector(0.00011393,250.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve4", #aipath: ["DesertFOffroadCurve4"], #direction: "SouthEast", #position: vector(0.000103644,500.0,0.0), #OilDrumExplosive_Object: [[vector (21.3095,425.281,-1.98485), [-0.01,0.41,0.03,0.91] ]], #CrateBig_Object: [[vector (21.4004,422.641,-1.81578), [-0.02,0.29,0.03,0.96] ]], #SheetSmall_Object: [[vector (24.0687,425.636,-2.3137), [0.00,0.81,0.03,0.58] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves1Horizontal", #aipath: ["DesertFOffroadCurves1Horizontal"], #direction: "WestEast", #position: vector(250.0,500.0,-0.000492436), #CrateSmall_Object: [[vector (254.213,554.353,7.27808), [-0.01,0.41,0.00,0.91] ]], #OilDrumNormal_Object: [[vector (253.128,552.35,7.31113), [-0.01,0.29,0.00,0.96] ]], #LogBig_Object: [[vector (211.821,533.899,5.36693), [0.01,0.57,-0.04,0.82] ]], #Dumpster_Object: [[vector (273.364,542.594,6.78079), [-0.00,-0.69,0.02,0.73] ], [vector (268.294,549.983,7.02436), [-0.01,-0.25,0.02,0.97] ]], #GarbageBag_Object: [[vector (269.704,542.424,6.87432), [0.01,0.03,0.01,1.00] ], [vector (268.989,540.69,6.86967), [0.01,0.43,0.01,0.90] ], [vector (272.035,540.939,6.77734), [0.01,0.26,0.01,0.96] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve2", #aipath: ["DesertFOffroadCurve2"], #direction: "WestNorth", #position: vector(500.0,500.0,0.0), #CrateSmall_Object: [[vector (498.438,583.56,-0.000462977), [0.00,0.26,0.00,0.96] ]], #OilDrumNormal_Object: [[vector (496.567,583.768,-0.000463112), [0.00,0.03,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (498.277,583.423,1.28195), [0.00,0.03,0.00,1.00] ]], #SheetSmall_Object: [[vector (496.75,581.219,-0.272631), [0.00,0.03,0.00,1.00] ]]]
