DesertTrack8Data_Begin			
	Name	Sahara Race	
	GameMode	Race	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[132,95,61]	
	FogRange	[100,300]	
	Skybox	HillsPink	
	PlayerCar	[#car: "Player", #position: vector(-5.12547,885.887,9.99939), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "AudiR8Rival", #position: vector(3.12756,885.764,9.99939), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "MustangRival", #position: vector(-5.24864,893.032,9.99939), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "SeatRival", #position: vector(3.12757,893.278,9.99939), #orientation: [0.00,0.00,0.00,1.00]]	
DesertTrack8Data_End			
			
DesertTrack8Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "SouthNorth", #position: vector(0.000597984,1000.0,9.99915), #CrateSmall_Object: [[vector (-31.9185,987.446,9.99939), [0.00,0.38,0.00,0.92] ], [vector (-31.9174,987.481,11.2818), [0.00,0.50,0.00,0.87] ], [vector (-20.377,1089.09,2.0613), [-0.04,0.22,0.01,0.97] ]], #OilDrumNormal_Object: [[vector (-21.9156,1088.16,2.17015), [-0.05,0.00,0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (-30.943,986.04,9.99939), [0.00,0.00,0.00,1.00] ]], #DirectionArrows_Object: [[vector (-55.0994,983.699,9.99939), [0.00,0.61,0.00,0.79] ], [vector (-56.7565,970.121,9.99939), [0.00,0.68,0.00,0.73] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDOffroadTransferBridge", #aipath: ["DesertFDOffroadTransferBridge"], #direction: "SouthNorth", #position: vector(0.000826785,1250.0,0.0), #OilDrumNormal_Object: [[vector (-25.2555,1245.19,-0.00057734), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-21.6588,1178.04,-0.000584228), [0.00,0.00,0.00,1.00] ], [vector (-13.598,1178.31,-0.000584421), [0.00,0.00,0.00,1.00] ], [vector (-5.11054,1179.25,-0.000584194), [0.00,0.00,0.00,1.00] ], [vector (-23.8991,1246.99,-0.000576456), [0.00,0.13,0.00,0.99] ]], #CrateBig_Object: [[vector (-23.1103,1243.85,-0.000575719), [0.00,0.26,0.00,0.97] ]], #StopSign_Object: [[vector (-17.702,1177.88,-0.000582757), [0.00,0.01,0.00,1.00] ], [vector (-9.01183,1178.99,-0.00058245), [0.00,0.02,0.00,1.00] ]], #SheetBig_Object: [[vector (-2.17002,1174.41,-0.362014), [0.00,-0.38,0.00,0.92] ]], #SandBag_Object: [[vector (-3.57529,1173.53,-0.000585096), [0.00,0.38,0.00,0.92] ], [vector (-19.9681,1174.41,-0.000585021), [0.00,0.37,0.00,0.93] ]], #LupoBlue: [[vector (-14.6489,1249.93,-0.0191019), [0.00,0.01,0.00,1.00] ]], #TruckGreen: [[vector (-12.998,1344.09,-0.000621274), [0.00,0.99,0.00,0.12] ]], #Detonator_PickUp: [[vector (-6.14514,1152.41,1.49941), [0.04,-0.19,-0.01,0.98] ]]]
