DesertTrack105Data_Begin			
	Name	SuperSurvivor	
	GameMode	Survivor	
	TargetTime	80000	
	Fog	TRUE	
	FogColor	[230,235,240]	
	FogRange	[100,1000]	
	Skybox	DesertTwilight	
	PlayerCar	[#car: "Player", #position: vector(-0.115421,21.2874,0.000222588), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Nissan", #position: vector(-3.80891,29.6297,0.000227237), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Eclipse", #position: vector(3.48879,33.3335,0.000238213), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "AudiR8", #position: vector(-1.48227,39.8344,0.000239782), #orientation: [0.00,0.00,0.00,1.00]]	
DesertTrack105Data_End			
			
DesertTrack105Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.000250954,250.0,0.00025), #CrateSmall_Object: [[vector (-10.764,326.095,0.000515033), [0.00,0.00,0.00,1.00] ], [vector (7.34244,322.883,0.000529554), [0.00,0.40,0.00,0.92] ], [vector (7.70056,325.328,0.000532371), [0.00,0.40,0.00,0.92] ], [vector (7.31471,325.05,1.28292), [0.00,-0.26,0.00,0.97] ], [vector (9.84347,324.242,0.000533587), [0.00,-0.26,0.00,0.97] ]], #OilDrumExplosive_Object: [[vector (9.54815,322.299,0.000531669), [0.00,0.00,0.00,1.00] ], [vector (-2.14903,340.733,0.000538358), [0.00,0.00,0.00,1.00] ], [vector (-0.227918,340.945,0.000540484), [0.00,0.00,0.00,1.00] ], [vector (1.83955,340.947,0.000542564), [0.00,0.00,0.00,1.00] ], [vector (-2.19158,340.792,1.76176), [0.00,0.00,0.00,1.00] ], [vector (-0.253873,340.93,1.76177), [0.00,0.00,0.00,1.00] ], [vector (1.96135,340.965,1.76177), [0.00,0.00,0.00,1.00] ], [vector (-0.150042,339.164,0.000538791), [0.00,0.00,0.00,1.00] ], [vector (-0.288483,340.965,3.52299), [0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (0.0643857,283.539,0.000485281), [0.00,0.00,0.00,1.00] ]], #CrateBig_Object: [[vector (-4.52789,287.254,0.000483024), [0.00,0.00,0.00,1.00] ], [vector (-0.153213,287.19,0.000487294), [0.00,0.00,0.00,1.00] ], [vector (3.77462,287.282,0.00049134), [0.00,0.00,0.00,1.00] ]], #Ramp1_Object: [[vector (6.51843,275.15,0.000487568), [0.00,0.00,0.00,1.00] ], [vector (-7.47561,275.207,0.000473579), [0.00,0.00,0.00,1.00] ]], #Ramp4_Object: [[vector (-0.487564,275.175,0.000483069), [0.00,-0.00,0.00,1.00] ], [vector (-0.578797,286.626,1.86603), [0.00,0.00,0.00,1.00] ]], #Detonator_PickUp: [[vector (-0.175582,296.793,4.7505), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.000501907,500.0,0.0005), #CrateSmall_Object: [[vector (-7.39868,513.313,0.000705583), [0.00,0.00,0.00,1.00] ], [vector (-5.25127,513.396,0.000707838), [0.00,0.00,0.00,1.00] ], [vector (-6.24238,514.965,0.000708398), [0.00,0.00,0.00,1.00] ], [vector (4.32949,513.23,0.000717252), [0.00,0.00,0.00,1.00] ], [vector (5.40367,514.882,0.000719962), [0.00,0.00,0.00,1.00] ], [vector (6.72467,513.23,0.000719658), [0.00,0.00,0.00,1.00] ]], #Repair_PickUp: [[vector (-15.9905,441.371,2.17746), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadOuterCurve4", #aipath: ["DesertFRoadOuterCurve4"], #direction: "SouthEast", #position: vector(0.000862613,750.0,0.000871107), #OilDrumExplosive_Object: [[vector (123.996,750.141,9.99797), [-0.00,0.00,-0.01,1.00] ], [vector (124.613,751.58,10.0045), [0.00,0.00,-0.01,1.00] ], [vector (124.887,748.731,10.0072), [0.00,0.00,-0.01,1.00] ], [vector (122.231,749.903,9.97873), [0.00,0.00,-0.01,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadInnerCurve2", #aipath: ["DesertFRoadInnerCurve2"], #direction: "WestNorth", #position: vector(250.001,750.0,10.0016), #OilDrumExplosive_Object: [[vector (126.236,751.714,10.001), [0.00,0.00,0.00,1.00] ], [vector (127.834,751.75,10.001), [0.00,0.00,0.00,1.00] ], [vector (129.44,751.892,10.001), [0.00,0.00,0.00,1.00] ], [vector (129.858,750.401,10.001), [0.00,0.00,0.00,1.00] ], [vector (127.87,750.294,10.001), [0.00,0.00,0.00,1.00] ], [vector (126.023,750.187,10.001), [0.00,0.00,0.00,1.00] ], [vector (126.343,748.802,10.001), [0.00,0.00,0.00,1.00] ], [vector (128.445,748.838,10.001), [0.00,0.00,0.00,1.00] ], [vector (129.929,748.98,10.001), [0.00,0.00,0.00,1.00] ], [vector (131.784,750.649,10.001), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadCurves1", #aipath: ["DesertFRoadCurves1"], #direction: "SouthNorth", #position: vector(250.001,1000.0,10.0017), #LogSmall_Object: [[vector (248.487,892.885,10.0013), [0.00,-0.38,0.00,0.92] ], [vector (247.65,893.053,10.0013), [0.00,-0.38,0.00,0.92] ], [vector (247.9,892.97,11.013), [0.02,-0.38,-0.05,0.92] ], [vector (247.566,890.876,10.0013), [0.00,-0.50,0.00,0.87] ]]]
