DesertTrack102Data_Begin			
	Name	Banjoo Bush BattleRace	
	GameMode	Survivor	
	TargetTime	200000	
	Fog	TRUE	
	FogColor	[187,201,176]	
	FogRange	[100,300]	
	Skybox	Dusk	
	PlayerCar	[#car: "Player", #position: vector(81.7388,-4.24683,1.08818), #orientation: [0.00,-0.61,0.06,0.79]]	
	AICar	[#car: "CorvetteRival", #position: vector(89.9003,6.19941,1.1127), #orientation: [-0.01,-0.79,0.05,0.61]]	
	AICar	[#car: "Mustang", #position: vector(99.0412,-8.92656,0.0342015), #orientation: [0.00,-0.61,0.00,0.79]]	
	AICar	[#car: "FordGTRival", #position: vector(102.444,1.73779,0.0722813), #orientation: [0.01,-0.71,0.01,0.71]]	
DesertTrack102Data_End			
			
DesertTrack102Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves2", #aipath: ["DesertFOffroadCurves2"], #direction: "WestEast", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (67.8805,-57.1314,3.91745), [0.01,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (66.566,-41.1511,3.16708), [-0.03,0.29,0.02,0.96] ]], #DirectionArrows_Object: [[vector (102.465,8.67063,0.28476), [-0.00,-0.12,0.01,0.99] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves1Horizontal", #aipath: ["DesertFOffroadCurves1Horizontal"], #direction: "WestEast", #position: vector(250.0,0.000119492,0.0), #OilDrumNormal_Object: [[vector (287.882,8.33136,6.44161), [-0.06,0.00,0.08,0.99] ], [vector (288.026,10.9091,6.08064), [-0.06,0.00,0.07,1.00] ], [vector (285.105,12.6128,6.33529), [-0.06,0.00,0.08,0.99] ]], #OilDrumExplosive_Object: [[vector (280.843,43.834,6.52984), [0.01,0.00,0.02,1.00] ], [vector (283.42,46.5003,6.46881), [-0.00,0.02,0.01,1.00] ], [vector (280.688,14.1761,6.82911), [-0.07,0.00,0.08,0.99] ], [vector (313.026,19.5108,4.5357), [-0.00,0.00,0.04,1.00] ]], #DirectionArrows_Object: [[vector (310.253,0.604769,4.75878), [0.00,-0.10,0.03,0.99] ]], #GasTank_Object: [[vector (297.672,51.5068,7.63947), [0.04,0.52,-0.06,0.85] ]], #Nitro_PickUp: [[vector (156.717,-0.691238,2.94409), [-0.71,0.00,0.00,0.71] ]], #Detonator_PickUp: [[vector (258.258,48.6463,8.72487), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve2", #aipath: ["DesertFOffroadCurve2"], #direction: "WestNorth", #position: vector(500.0,0.0,0.000591687)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves2", #aipath: ["DesertFOffroadCurves2"], #direction: "SouthEast", #position: vector(500.0,250.0,0.0), #OilDrumNormal_Object: [[vector (555.502,218.026,4.16317), [0.04,-0.01,0.11,0.99] ]], #OilDrumExplosive_Object: [[vector (543.734,212.993,6.10289), [0.08,0.12,0.09,0.99] ], [vector (554.75,206.739,7.48862), [0.00,0.11,0.01,0.99] ], [vector (570.236,193.133,8.05161), [0.03,0.04,-0.06,1.00] ], [vector (602.137,221.513,1.759), [-0.08,-0.02,-0.05,1.00] ], [vector (604.112,259.849,0.207651), [0.02,-0.00,0.01,1.00] ]], #CrateBig_Object: [[vector (575.811,195.701,3.74833), [-0.03,0.00,0.01,1.00] ], [vector (570.788,194.971,3.84128), [-0.02,0.00,0.01,1.00] ], [vector (570.791,195.585,5.73353), [-0.02,0.00,0.01,1.00] ]], #Dumpster_Object: [[vector (583.444,194.719,3.76655), [-0.02,0.49,0.02,0.87] ]], #Ramp3_Object: [[vector (541.467,189.915,5.82798), [0.09,-0.44,-0.06,0.89] ]], #Ramp4_Object: [[vector (539.034,187.706,4.14187), [0.02,-0.43,-0.01,0.90] ]], #GarbageBag_Object: [[vector (581.772,195.567,3.66724), [-0.03,0.00,0.01,1.00] ], [vector (582.228,197.46,3.53502), [-0.03,0.00,0.01,1.00] ], [vector (585.63,202.61,3.14066), [-0.03,0.00,0.00,1.00] ]], #TruckRed: [[vector (612.078,253.068,0.000149724), [0.00,0.60,0.00,0.80] ]], #Detonator_PickUp: [[vector (546.023,193.317,10.9174), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "WestSouth", #position: vector(750.0,250.0,0.000641687), #Repair_PickUp: [[vector (674.053,239.378,1.23527), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve3", #aipath: ["DesertFOffroadCurve3"], #direction: "NorthEast", #position: vector(750.001,0.0,0.000605243)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "WestSouth", #position: vector(1000.0,-0.000164135,0.000630243), #Nitro_PickUp: [[vector (953.713,-28.322,-0.983731), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve2", #aipath: ["DesertFOffroadCurve2"], #direction: "NorthWest", #position: vector(1000.0,-250.0,0.000605243)]
