DesertTrack101Data_Begin			
	Name	Vertigo GooseHunt	
	GameMode	BattleRace	
	TargetTime	12000	
	Fog	TRUE	
	FogColor	[160,150,120]	
	FogRange	[100,400]	
	Skybox	Yellow	
	PlayerCar	[#car: "Player", #position: vector(2.13113,582.549,13.084), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Mustang", #position: vector(-4.87935,594.332,13.084), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "FordGT", #position: vector(8.84237,591.945,13.084), #orientation: [0.00,0.26,0.00,0.97]]	
	AICar	[#car: "AstonMartinRival", #position: vector(-7.41442,585.532,13.084), #orientation: [0.00,-0.26,0.00,0.97]]	
DesertTrack101Data_End			
			
DesertTrack101Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertDBridgeVertical", #aipath: ["DesertDBridgeVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertDVerticalRockTransfer1", #aipath: ["DesertDVerticalRockTransfer1"], #direction: "SouthNorth", #position: vector(-0.000395511,250.0,-0.000397478), #Crosses_Object: [[vector (2.83985,261.96,0.0), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDRoadTransferTunnel1", #aipath: ["DesertFDRoadTransferTunnel1"], #direction: "SouthNorth", #position: vector(0.000113062,500.0,-0.00015504), #Nitro_PickUp: [[vector (-0.276489,600.762,14.584), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "SouthWest", #position: vector(-0.000156277,750.0,13.0), #CrateSmall_Object: [[vector (-29.8482,721.829,13.0002), [0.00,0.57,0.00,0.82] ], [vector (-29.6007,721.697,14.2826), [0.00,0.67,0.00,0.74] ]], #DirectionArrows_Object: [[vector (-34.5423,728.01,13.0002), [0.00,0.97,0.00,0.26] ], [vector (-46.7507,735.79,13.0002), [0.00,0.97,0.00,0.25] ]], #Nitro_PickUp: [[vector (-34.5707,710.675,14.5002), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadOuterCurve3", #aipath: ["DesertFRoadOuterCurve3"], #direction: "EastNorth", #position: vector(-250.0,750.001,22.9999)]
