DesertTrack108Data_Begin			
	Name	Sudan Race	
	GameMode	BattleRace	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[245,143,72]	
	FogRange	[100,500]	
	Skybox	HillsPink	
	AICar	[#car: "AstonMartinRival", #position: vector(-8.9607,656.773,0.000230641), #orientation: [0.00,-0.26,0.00,0.97]]	
	PlayerCar	[#car: "Player", #position: vector(-2.74063,638.409,0.000238111), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "EclipseRival", #position: vector(8.10173,645.841,0.000236484), #orientation: [0.00,0.26,0.00,0.97]]	
	AICar	[#car: "CorvetteRival", #position: vector(7.00579,668.256,0.000227914), #orientation: [0.00,0.26,0.00,0.97]]	
DesertTrack108Data_End			
			
DesertTrack108Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #CrateSmall_Object: [[vector (7.5199,164.935,0.000215713), [0.00,0.00,0.00,1.00] ], [vector (5.91782,163.603,0.000215357), [0.00,0.26,0.00,0.97] ]], #OilDrumNormal_Object: [[vector (7.05309,164.708,1.28261), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransferRoadSand", #aipath: ["DesertFTransferRoadSand"], #direction: "SouthNorth", #position: vector(0.000308923,500.0,0.0), #CrateSmall_Object: [[vector (-6.65038,481.612,0.000234902), [0.00,0.26,0.00,0.97] ]], #OilDrumExplosive_Object: [[vector (-7.30706,402.51,0.00022912), [0.00,0.00,0.00,1.00] ], [vector (-5.31304,402.725,0.000229239), [0.00,0.38,0.00,0.92] ], [vector (18.6425,481.474,-0.228528), [0.00,0.00,0.02,1.00] ], [vector (20.3531,482.007,-0.294802), [0.01,0.26,0.02,0.97] ], [vector (18.6364,480.804,1.57684), [0.01,0.26,0.02,0.97] ]], #VendingMachine_Object: [[vector (31.7393,475.987,-0.460283), [-0.01,0.00,0.01,1.00] ]], #CrateBig_Object: [[vector (-6.87881,405.031,0.000229359), [0.00,0.38,0.00,0.92] ], [vector (-11.3891,484.08,0.000233054), [0.00,0.26,0.00,0.97] ], [vector (-11.3308,480.902,0.000234902), [0.00,-0.00,0.00,1.00] ], [vector (-11.0256,481.747,1.86574), [0.00,0.13,0.00,0.99] ]], #SheetSmall_Object: [[vector (-9.63117,478.61,-0.271934), [0.00,0.38,0.00,0.92] ]], #Dumpster_Object: [[vector (17.6603,504.739,-0.000314951), [-0.00,-0.71,0.00,0.71] ]], #GarbageBag_Object: [[vector (15.0584,500.843,0.0496739), [0.00,0.13,0.00,0.99] ], [vector (17.2678,504.593,3.23439), [-0.00,0.08,-0.04,1.00] ], [vector (29.4812,475.78,-0.36691), [-0.01,0.08,0.01,1.00] ]], #Detonator_PickUp: [[vector (4.18387,450.429,1.50024), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "SouthNorth", #position: vector(0.000260013,750.0,0.000598567), #CrateSmall_Object: [[vector (4.99852,760.518,0.000192238), [0.00,0.26,0.00,0.97] ], [vector (6.60261,761.061,0.000192148), [0.00,0.50,0.00,0.87] ], [vector (5.83133,760.96,1.28259), [0.00,0.50,0.00,0.87] ]], #SandBag_Object: [[vector (6.2455,760.84,2.56498), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (0.178999,762.657,1.5002), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDOffroadTransferBridge", #aipath: ["DesertFDOffroadTransferBridge"], #direction: "SouthNorth", #position: vector(0.000541551,1000.0,0.000658376), #CrateSmall_Object: [[vector (-11.0475,1009.43,-0.0364709), [0.00,0.26,0.00,0.97] ], [vector (-11.1154,1008.64,1.25071), [0.00,0.26,0.00,0.97] ], [vector (-1.93769,922.391,0.000151582), [0.00,0.13,0.00,0.99] ]], #OilDrumNormal_Object: [[vector (-20.356,922.352,0.000151603), [0.00,0.00,0.00,1.00] ], [vector (-20.4421,924.325,0.000151833), [0.00,0.13,0.00,0.99] ], [vector (-20.4793,923.673,1.76135), [0.00,0.23,0.00,0.97] ], [vector (-2.51499,926.214,0.000152026), [0.00,0.23,0.00,0.97] ]]]
	CreateTile	DesertAssets	[#type: "DesertDVerticalStraight", #aipath: ["DesertDVerticalStraight"], #direction: "SouthNorth", #position: vector(0.001409,1250.0,0.00110109), #OilDrumExplosive_Object: [[vector (-8.23645,1182.5,0.00104294), [0.00,0.00,0.00,1.00] ], [vector (-6.9681,1183.95,0.0010419), [0.00,0.26,0.00,0.97] ]], #LogSmall_Object: [[vector (-7.58417,1177.52,0.00104396), [0.00,0.38,0.00,0.92] ]]]
