DesertTrack107Data_Begin			
	Name	Troph	
	GameMode	BattleRace	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[240,240,245]	
	FogRange	[150,500]	
	Skybox	Sunny	
	PlayerCar	[#car: "Player", #position: vector(-235.121,2095.95,13.0006), #orientation: [0.00,0.38,0.00,0.92]]	
	AICar	[#car: "AudiR8Rival", #position: vector(-257.728,2105.65,13.0006), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "MustangRival", #position: vector(-248.145,2095.95,13.0006), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "SeatRival", #position: vector(-243.722,2112.9,13.0006), #orientation: [0.00,0.00,0.00,1.00]]	
DesertTrack107Data_End			
			
DesertTrack107Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "SouthNorth", #position: vector(0.000597984,1000.0,9.99915), #CrateSmall_Object: [[vector (-31.9185,987.446,9.99939), [0.00,0.38,0.00,0.92] ], [vector (-31.9174,987.481,11.2818), [0.00,0.50,0.00,0.87] ], [vector (-20.377,1089.09,2.0613), [-0.04,0.22,0.01,0.97] ]], #OilDrumNormal_Object: [[vector (-21.9156,1088.16,2.17015), [-0.05,0.00,0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (-30.943,986.04,9.99939), [0.00,0.00,0.00,1.00] ]], #DirectionArrows_Object: [[vector (-55.0994,983.699,9.99939), [0.00,0.61,0.00,0.79] ], [vector (-56.7565,970.121,9.99939), [0.00,0.68,0.00,0.73] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDOffroadTransferBridge", #aipath: ["DesertFDOffroadTransferBridge"], #direction: "SouthNorth", #position: vector(0.000826785,1250.0,0.0), #OilDrumExplosive_Object: [[vector (-21.6588,1178.04,-0.000584228), [0.00,0.00,0.00,1.00] ], [vector (-5.11054,1179.25,-0.000584194), [0.00,0.00,0.00,1.00] ], [vector (-23.8991,1246.99,-0.000576456), [0.00,0.13,0.00,0.99] ]], #SheetBig_Object: [[vector (-2.17002,1174.41,-0.362014), [0.00,-0.38,0.00,0.92] ]], #SandBag_Object: [[vector (-3.57529,1173.53,-0.000585096), [0.00,0.38,0.00,0.92] ], [vector (-19.9681,1174.41,-0.000585021), [0.00,0.37,0.00,0.93] ]], #Nitro_PickUp: [[vector (-5.99459,1153.92,1.49941), [-0.29,0.34,-0.11,0.89] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDRoadTransferTunnel1", #aipath: ["DesertFDRoadTransferTunnel1"], #direction: "SouthNorth", #position: vector(0.0016214,1500.0,0.000202486), #Nitro_PickUp: [[vector (3.77152,1610.69,14.5843), [-0.29,0.34,-0.11,0.89] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransferRoadSand", #aipath: ["DesertFTransferRoadSand"], #direction: "SouthNorth", #position: vector(0.00150489,1750.0,13.0003), #CrateSmall_Object: [[vector (34.8496,1723.55,12.5581), [-0.01,0.01,0.01,1.00] ], [vector (35.282,1721.5,12.5994), [-0.01,0.27,0.01,0.96] ], [vector (34.7127,1728.85,18.4763), [0.01,0.33,0.02,0.94] ]], #OilDrumExplosive_Object: [[vector (30.501,1743.95,12.6219), [0.04,-0.00,-0.01,1.00] ], [vector (21.6718,1744.95,12.8391), [0.02,-0.00,0.02,1.00] ], [vector (22.4219,1742.05,12.6862), [0.03,0.38,0.01,0.92] ]], #VendingMachine_Object: [[vector (30.537,1727.8,12.5161), [-0.01,-0.61,-0.00,0.79] ]], #SheetSmall_Object: [[vector (33.9591,1719.75,12.3912), [-0.01,-0.25,0.00,0.97] ]], #GarbageBag_Object: [[vector (12.7878,1713.18,13.0527), [0.00,0.01,0.00,1.00] ], [vector (32.4078,1726.52,12.5697), [-0.01,-0.13,0.00,0.99] ]], #GasTank_Object: [[vector (38.0047,1750.89,13.0746), [-0.01,0.71,-0.01,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "SouthWest", #position: vector(0.00159015,2000.0,13.0011)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve3", #aipath: ["DesertFOffroadCurve3"], #direction: "EastNorth", #position: vector(-249.998,2000.0,13.001), #OilDrumNormal_Object: [[vector (-175.344,2018.34,11.1703), [-0.02,-0.00,-0.02,1.00] ]], #OilDrumExplosive_Object: [[vector (-174.185,2019.85,11.1577), [-0.02,-0.00,-0.02,1.00] ]], #CrateBig_Object: [[vector (-200.859,2015.91,10.2307), [-0.01,0.28,-0.01,0.96] ]], #LogSmall_Object: [[vector (-197.913,2013.21,10.4573), [-0.02,-0.00,-0.02,1.00] ]]]
