DesertTrack11Data_Begin			
	Name	Sudan Race	
	GameMode	Race	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[103,71,52]	
	FogRange	[100,500]	
	Skybox	DesertSunny	
	PlayerCar	[#car: "Player", #position: vector(-4.38267,-49.8966,0.00019323), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "MarcosBoss", #position: vector(3.99164,-50.1128,0.000194028), #orientation: [0.00,0.00,0.00,1.00]]	
DesertTrack11Data_End			
			
DesertTrack11Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #CrateSmall_Object: [[vector (7.5199,164.935,0.000215713), [0.00,0.00,0.00,1.00] ], [vector (5.91782,163.603,0.000215357), [0.00,0.26,0.00,0.97] ]], #OilDrumNormal_Object: [[vector (7.05309,164.708,1.28261), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransferRoadSand", #aipath: ["DesertFTransferRoadSand"], #direction: "SouthNorth", #position: vector(0.000308923,500.0,0.0), #CrateSmall_Object: [[vector (-6.65038,481.612,0.000234902), [0.00,0.26,0.00,0.97] ]], #OilDrumExplosive_Object: [[vector (-7.30706,402.51,0.00022912), [0.00,0.00,0.00,1.00] ], [vector (-5.31304,402.725,0.000229239), [0.00,0.38,0.00,0.92] ], [vector (18.6425,481.474,-0.228528), [0.00,0.00,0.02,1.00] ], [vector (20.3531,482.007,-0.294802), [0.01,0.26,0.02,0.97] ], [vector (18.6364,480.804,1.57684), [0.01,0.26,0.02,0.97] ]], #VendingMachine_Object: [[vector (31.7393,475.987,-0.460283), [-0.01,0.00,0.01,1.00] ]], #CrateBig_Object: [[vector (-6.87881,405.031,0.000229359), [0.00,0.38,0.00,0.92] ], [vector (-11.3891,484.08,0.000233054), [0.00,0.26,0.00,0.97] ], [vector (-11.3308,480.902,0.000234902), [0.00,-0.00,0.00,1.00] ], [vector (-11.0256,481.747,1.86574), [0.00,0.13,0.00,0.99] ]], #SheetSmall_Object: [[vector (-9.63117,478.61,-0.271934), [0.00,0.38,0.00,0.92] ]], #Dumpster_Object: [[vector (17.6603,504.739,-0.000314951), [-0.00,-0.71,0.00,0.71] ]], #GarbageBag_Object: [[vector (15.0584,500.843,0.0496739), [0.00,0.13,0.00,0.99] ], [vector (17.2678,504.593,3.23439), [-0.00,0.08,-0.04,1.00] ], [vector (29.4812,475.78,-0.36691), [-0.01,0.08,0.01,1.00] ]], #Detonator_PickUp: [[vector (4.18387,450.429,1.50024), [-0.06,0.70,-0.06,0.71] ]]]
