DesertTrack7Data_Begin			
	Name	Sahara Survivor	
	GameMode	Survivor	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[240,240,220]	
	FogRange	[100,300]	
	Skybox	HillsSunny	
	PlayerCar	[#car: "Player", #position: vector(-18.2539,912.471,9.9994), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Corvette", #position: vector(11.2314,935.672,11.8771), #orientation: [-0.00,0.50,-0.08,0.86]]	
	AICar	[#car: "Mustang", #position: vector(-30.3577,932.008,10.4305), #orientation: [-0.06,-0.06,0.04,1.00]]	
	AICar	[#car: "Seat", #position: vector(-5.41599,948.915,10.489), #orientation: [-0.01,0.61,-0.06,0.79]]	
DesertTrack7Data_End			
			
DesertTrack7Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "SouthNorth", #position: vector(0.000597984,1000.0,9.99915), #Pylon_Object: [[vector (-47.6353,955.648,10.0413), [-0.02,0.00,0.02,1.00] ], [vector (-47.6808,958.072,9.99831), [0.00,0.27,0.00,0.96] ], [vector (-48.5811,961.149,9.99831), [0.00,-0.19,0.00,0.98] ]], #OilDrumNormal_Object: [[vector (-51.7961,954.999,10.2933), [-0.03,0.00,0.02,1.00] ], [vector (-50.416,956.545,10.1508), [-0.02,0.00,0.02,1.00] ], [vector (-30.4757,972.432,9.99939), [0.00,0.34,0.00,0.94] ]], #OilDrumExplosive_Object: [[vector (-28.9679,971.34,9.99686), [-0.01,0.00,0.01,1.00] ]], #CrateBig_Object: [[vector (-53.2375,957.31,10.2634), [-0.03,0.00,0.02,1.00] ], [vector (-53.5773,961.129,10.0629), [0.00,0.50,0.01,0.87] ], [vector (-50.9876,959.747,9.9994), [0.00,0.50,0.00,0.87] ], [vector (-52.6837,960.812,11.9264), [0.00,0.50,0.00,0.87] ], [vector (-28.9854,974.099,10.0173), [0.00,0.00,0.02,1.00] ], [vector (-28.5456,974.129,11.9118), [0.01,0.38,0.01,0.92] ]], #StopSign_Object: [[vector (-53.0449,970.382,9.99939), [0.00,0.61,0.00,0.79] ], [vector (-52.2199,979.652,9.99939), [0.00,0.61,0.00,0.79] ]], #ArrowsRight_Object: [[vector (-57.6122,972.361,9.99939), [0.00,0.71,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDOffroadTransferBridge", #aipath: ["DesertFDOffroadTransferBridge"], #direction: "SouthNorth", #position: vector(0.000826785,1250.0,0.0), #CrateBig_Object: [[vector (-25.0453,1204.47,-0.000579213), [0.00,0.31,0.00,0.95] ], [vector (-22.1237,1202.23,-0.000578642), [0.00,0.65,0.00,0.76] ], [vector (-24.4372,1200.22,-0.000579139), [0.00,0.83,0.00,0.56] ], [vector (-8.74681,1278.42,-0.0382416), [0.00,0.90,0.00,0.43] ], [vector (-11.6354,1277.71,-0.0230631), [0.00,0.90,0.00,0.43] ], [vector (-8.44038,1279.12,1.83272), [0.00,1.00,-0.00,-0.08] ]], #SandBag_Object: [[vector (-13.0689,1275.24,-0.0172683), [0.00,0.38,0.00,0.92] ], [vector (-10.642,1275.75,-0.0307724), [0.00,0.50,0.00,0.87] ], [vector (-10.5088,1275.88,0.505213), [0.00,0.69,0.00,0.72] ], [vector (-14.9068,1277.23,-0.00857214), [0.00,0.69,0.00,0.72] ], [vector (-21.9404,1201.26,2.04814), [0.00,0.64,0.00,0.77] ], [vector (-22.1252,1199.83,-0.000578696), [0.00,0.64,0.00,0.77] ], [vector (-19.0221,1200.84,-0.000578021), [0.00,0.48,0.00,0.88] ]], #Nitro_PickUp: [[vector (-3.78854,1150.05,1.49941), [-0.71,0.00,0.00,0.71] ]], #Repair_PickUp: [[vector (-9.10823,1319.17,1.74924), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDRoadTransferTunnel1", #aipath: ["DesertFDRoadTransferTunnel1"], #direction: "SouthNorth", #position: vector(0.0016214,1500.0,0.000202486), #RoadBlock_Object: [[vector (-4.78192,1375.33,0.0121529), [-0.01,0.00,0.00,1.00] ], [vector (6.94466,1602.72,13.0843), [0.00,1.00,0.00,0.00] ], [vector (11.8268,1597.73,13.0851), [0.00,1.00,0.00,0.00] ]], #CrateBig_Object: [[vector (-9.32934,1381.89,-0.150015), [-0.01,0.00,0.00,1.00] ], [vector (-6.01525,1381.54,-0.141232), [-0.01,0.00,0.00,1.00] ], [vector (-8.79212,1378.96,-0.06731), [-0.01,0.26,0.00,0.97] ], [vector (-0.641166,1387.24,-0.297579), [-0.01,0.26,0.01,0.97] ]], #SheetBig_Object: [[vector (-5.1372,1380.62,-0.460605), [-0.01,0.00,0.00,1.00] ], [vector (-2.41309,1383.99,-0.541191), [-0.01,0.50,0.01,0.87] ]], #Dumpster_Object: [[vector (16.2692,1609.61,13.3379), [0.01,-0.38,-0.02,0.92] ], [vector (15.8942,1602.06,13.3072), [0.00,-0.00,-0.02,1.00] ]], #GarbageBag_Object: [[vector (11.6766,1610.1,13.1369), [0.00,0.00,0.00,1.00] ], [vector (8.40475,1611.48,13.1365), [0.00,0.88,0.00,-0.47] ], [vector (5.93894,1613.1,13.1365), [0.00,0.88,0.00,-0.47] ], [vector (13.2679,1614.99,13.1874), [0.01,-0.56,-0.02,0.83] ]], #SandBag_Object: [[vector (5.06608,1600.41,13.0843), [0.00,0.87,0.00,0.50] ], [vector (3.01987,1602.32,13.0843), [0.00,0.87,0.00,0.50] ], [vector (3.69777,1600.89,13.0843), [0.00,0.52,0.00,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransferRoadSand", #aipath: ["DesertFTransferRoadSand"], #direction: "SouthNorth", #position: vector(0.00150489,1750.0,13.0003), #Repair_PickUp: [[vector (4.29647,1649.77,14.7506), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "SouthWest", #position: vector(0.00159015,2000.0,13.0011)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve3", #aipath: ["DesertFOffroadCurve3"], #direction: "EastNorth", #position: vector(-249.998,2000.0,13.001), #Repair_PickUp: [[vector (-227.193,2051.9,12.6794), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "SouthNorth", #position: vector(-249.999,2250.0,13.0009), #Nitro_PickUp: [[vector (-250.358,2193.9,14.5006), [-0.71,0.00,0.00,0.71] ]]]
