CityTrack4Data_Begin			
	Name	Desert Heat Rampage	
	GameMode	Rampage	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[106,72,53]	
	FogRange	[25,600]	
	Skybox	DesertTwilight	
	PlayerCar	[#car: "Player", #position: vector(6.93295,203.606,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack4Data_End			
			
CityTrack4Build_Begin			
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	CityAssets	[#type: "CityIntersection", #aipath: ["CityIntersection"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #OilDrumNormal_Object: [[vector (8.10917,263.023,0.0), [0.00,0.00,0.00,1.00] ], [vector (9.32022,260.212,0.0), [0.00,0.00,0.00,1.00] ], [vector (12.6074,259.346,0.0), [0.00,0.00,0.00,1.00] ], [vector (11.4828,262.72,0.300022), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (10.5313,258.611,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (6.1833,306.75,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-2.64324,317.043,0.0), [0.00,1.00,0.00,0.00] ]]]
