CityTrack11Data_Begin			
	Name	Capetown Race	
	GameMode	Race	
	TargetTime	10000	
	Fog	TRU	
	FogColor	[250,245,200]	
	FogRange	[100,500]	
	Skybox	MountainsSunny	
	PlayerCar	[#car: "Player", #position: vector(54.8664,-14.5603,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "MustangRival", #position: vector(42.0882,-13.4751,0.0), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "Seat", #position: vector(45.3546,0.489628,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "CorvetteRival", #position: vector(55.0353,0.181379,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack11Data_End			
			
CityTrack11Build_Begin			
	CreateTile	CityAssets	[#type: "CityCurves", #aipath: ["CityCurves"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #RoadBlock_Object: [[vector (34.8943,35.1523,0.0), [0.00,0.79,0.00,0.61] ], [vector (50.1341,42.5239,0.0), [0.00,0.87,0.00,0.50] ]], #Nitro_PickUp: [[vector (7.09403,93.2876,1.5), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	CityAssets	[#type: "CityCurveDown", #aipath: ["CityCurveDown"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #OilDrumNormal_Object: [[vector (-2.15343,264.689,3.55302), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-4.1785,260.482,-2.4231), [-0.02,-0.00,-0.01,1.00] ], [vector (-1.69179,259.16,-2.31427), [-0.02,-0.00,-0.01,1.00] ]], #VendingMachine_Object: [[vector (8.74853,262.086,-2.29915), [-0.03,-0.00,0.00,1.00] ], [vector (11.6916,262.287,-2.29595), [-0.01,-0.00,0.02,1.00] ]], #Ramp3_Object: [[vector (-44.1161,339.633,-3.49997), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-43.8954,352.362,0.250095), [-0.71,0.00,0.00,0.71] ]]]
