CityTrack101Data_Begin			
	Name	Desert Heat BattleRace	
	GameMode	Race	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[104,109,110]	
	FogRange	[25,600]	
	Skybox	CityCloudy	
	AICar	[#car: "Nissan", #position: vector(-11.9946,256.639,0.0), #orientation: [0.00,-0.38,0.00,0.92]]	
	AICar	[#car: "Eclipse", #position: vector(11.6825,257.132,0.0), #orientation: [0.00,0.50,0.00,0.87]]	
	AICar	[#car: "Corvette", #position: vector(-3.31301,254.666,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	PlayerCar	[#car: "Player", #position: vector(2.90222,254.666,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack101Data_End			
			
CityTrack101Build_Begin			
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	CityAssets	[#type: "CityIntersection", #aipath: ["CityIntersection"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #Crosses_Object: [[vector (24.4036,249.074,0.0), [0.00,-0.71,0.00,0.71] ], [vector (-51.5465,250.252,0.0), [0.00,0.71,0.00,0.71] ]], #TransporterRed: [[vector (6.1833,306.75,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-2.64324,317.043,0.0), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	CityAssets	[#type: "CityCurves", #aipath: ["CityCurves"], #direction: "SouthNorth", #position: vector(0.0,500.0,0.0), #DirectionArrows_Object: [[vector (62.6421,493.156,0.300052), [0.00,0.71,0.00,0.71] ], [vector (37.494,497.442,0.300048), [0.00,0.61,0.00,0.79] ]], #TransporterWhite: [[vector (19.0222,417.435,0.0), [0.00,0.97,0.00,0.26] ]], #BusGrey: [[vector (51.6093,496.245,0.0), [0.00,0.00,0.00,1.00] ]], #BusDog: [[vector (-4.42372,607.391,0.0), [0.00,1.00,0.00,0.00] ]], #Nitro_PickUp: [[vector (7.90538,602.783,1.50006), [-0.25,0.08,-0.02,0.96] ]]]
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(0.0,750.0,0.0), #OilDrumNormal_Object: [[vector (6.12095,739.573,0.0), [0.00,0.00,0.00,1.00] ], [vector (9.69392,745.678,0.0), [0.00,0.00,0.00,1.00] ], [vector (11.3602,740.002,0.30007), [0.00,0.00,0.00,1.00] ], [vector (8.29731,740.926,0.0), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (9.23599,738.373,0.0), [0.00,0.00,0.00,1.00] ]], #MailBox_Object: [[vector (11.7507,727.968,0.300069), [0.00,0.00,0.00,1.00] ]], #LupoBlue: [[vector (-1.69873,855.57,0.0), [0.00,1.00,0.00,0.00] ]], #TruckGreen: [[vector (-6.11413,732.108,0.0), [0.00,1.00,0.00,0.00] ]], #CashSmall_PickUp: [[vector (5.88662,652.963,1.50007), [-0.25,0.08,-0.02,0.96] ], [vector (6.2119,664.58,1.50007), [-0.25,0.08,-0.02,0.96] ], [vector (6.42443,675.785,1.50007), [-0.25,0.08,-0.02,0.96] ]]]
