CityTrack17Data_Begin			
	Name	Gateway BossBattle	
	GameMode	BossBattle	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[242,234,192]	
	FogRange	[100,300]	
	Skybox	CitySunny	
	PlayerCar	[#car: "Player", #position: vector(1.08579,34.6215,0.0), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "BlackTruckBoss", #position: vector(12.0604,46.8442,0.13755), #orientation: [-0.00,0.26,-0.02,0.97]]	
CityTrack17Data_End			
			
CityTrack17Build_Begin			
	CreateTile	CityAssets	[#type: "CityGrassVertical", #aipath: ["CityGrassVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #CrateSmall_Object: [[vector (-13.5492,4.20821,0.0471763), [0.00,0.00,0.01,1.00] ], [vector (-15.6892,4.30915,0.0819666), [0.00,0.26,0.01,0.97] ], [vector (-15.0351,4.03176,1.36789), [0.00,0.26,0.01,0.97] ]], #OilDrumNormal_Object: [[vector (-21.2957,1.82773,0.15695), [0.00,0.00,0.01,1.00] ]], #Dumpster_Object: [[vector (-19.6904,5.52264,0.174158), [0.00,0.38,0.01,0.92] ], [vector (-15.5123,10.2669,0.127325), [0.00,0.38,0.01,0.92] ], [vector (18.9364,64.9409,0.219367), [0.00,0.00,-0.00,1.00] ], [vector (26.4332,65.3518,0.290776), [0.00,0.00,-0.00,1.00] ]], #GarbageBag_Object: [[vector (-17.5381,3.63273,0.160536), [0.00,0.00,0.01,1.00] ]]]
