CityTrack1Data_Begin			
	Name	Inferno City Race	
	GameMode	Race	
	TargetTime	12000	
	Fog	TRUE	
	FogColor	[156,153,116]	
	FogRange	[25,600]	
	Skybox	CitySunny	
	PlayerCar	[#car: "Player", #position: vector(-27.7624,85.0689,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Nissan", #position: vector(-18.3026,91.7987,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Nissan", #position: vector(-4.03288,91.6485,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Nissan", #position: vector(4.97957,91.6485,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack1Data_End			
			
CityTrack1Build_Begin			
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #Pylon_Object: [[vector (-11.3795,109.972,-0.0010789), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #Pylon_Object: [[vector (-11.4847,139.963,-0.0010758), [0.00,0.00,0.00,1.00] ], [vector (-11.4847,125.029,-0.001077), [0.00,0.00,0.00,1.00] ], [vector (-10.9523,266.796,-0.00106317), [0.00,0.00,0.00,1.00] ], [vector (-11.2128,257.852,-0.00106412), [0.00,0.00,0.00,1.00] ], [vector (-11.0391,246.565,-0.00106508), [0.00,0.00,0.00,1.00] ]], #CrateSmall_Object: [[vector (-18.0954,363.249,0.0), [0.00,0.00,0.00,1.00] ], [vector (-27.8225,363.138,1.86553), [0.00,0.26,0.00,0.97] ]], #CrateBig_Object: [[vector (-28.3287,363.411,0.0), [0.00,-0.13,0.00,0.99] ], [vector (-22.2662,364.793,0.0), [0.00,-0.13,0.00,0.99] ], [vector (8.65859,368.177,0.0), [0.00,-0.61,0.00,0.79] ], [vector (6.38443,368.177,0.0), [0.00,0.87,0.00,-0.50] ], [vector (7.20613,368.493,1.86557), [0.00,0.87,0.00,-0.50] ]], #Ramp4_Object: [[vector (-22.8152,354.574,0.0), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (-4.3544,269.901,0.0), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-22.9649,292.487,1.50003), [-0.10,0.00,0.00,1.00] ]], #CashSmall_PickUp: [[vector (-23.1018,367.328,4.18162), [-0.10,0.00,0.00,1.00] ], [vector (-23.1647,373.752,5.27114), [-0.10,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-55.0,500.0,-0.000184054), #OilDrumNormal_Object: [[vector (-47.0356,600.446,-19.9543), [-0.00,0.00,0.00,1.00] ], [vector (-42.8761,606.435,-19.6831), [-0.00,0.00,0.00,1.00] ], [vector (-45.0646,610.23,-20.0006), [0.00,0.00,0.00,1.00] ], [vector (-41.0099,599.044,-19.6529), [-0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-43.9293,601.749,-19.664), [-0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (-58.1545,548.513,-17.1891), [-0.05,0.13,0.01,0.99] ]], #LupoRed: [[vector (-4.65093,379.907,-0.0513853), [-0.01,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-13.3987,483.965,-9.25478), [-0.06,0.26,0.02,0.96] ]], #CashBig_PickUp: [[vector (-23.3537,379.105,5.54234), [-0.10,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-110.0,750.0,-20.0006), #OilDrumExplosive_Object: [[vector (-71.6115,791.326,-36.2193), [-0.06,0.00,-0.00,1.00] ]], #MailBox_Object: [[vector (-76.8983,768.929,-33.6836), [-0.05,-0.50,-0.03,0.86] ], [vector (-74.4538,762.142,-32.8162), [-0.05,-0.50,-0.03,0.86] ]], #Dumpster_Object: [[vector (-73.4523,794.999,-36.4138), [-0.04,-0.50,-0.02,0.87] ]], #LupoBlue: [[vector (-61.7371,718.107,-27.2083), [-0.06,0.13,0.01,0.99] ]], #TransporterWhite: [[vector (-107.886,735.194,-29.3109), [0.02,0.96,0.06,-0.26] ]], #TruckRed: [[vector (-59.241,630.127,-20.0557), [-0.01,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-84.8595,724.932,-26.8183), [-0.10,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(-110.0,1000.0,-40.0008), #LupoRed: [[vector (-115.036,915.649,-39.5526), [0.02,-0.13,0.00,0.99] ], [vector (-113.489,1001.49,-31.1857), [0.01,0.99,-0.07,0.13] ]], #TransporterWhite: [[vector (-104.361,948.246,-37.4109), [0.05,-0.13,0.00,0.99] ]], #BusGrey: [[vector (-48.5296,1120.3,-20.0503), [0.01,-0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-110.0,1250.0,-20.001), #CrateBig_Object: [[vector (-41.5596,1137.51,-19.9121), [-0.01,0.00,0.00,1.00] ], [vector (-45.6067,1140.79,-20.2716), [-0.01,0.00,0.00,1.00] ], [vector (-44.4032,1135.54,-19.8761), [-0.01,0.00,0.00,1.00] ], [vector (-43.5505,1135.21,-17.9869), [-0.01,0.00,0.00,1.00] ]], #LupoBlue: [[vector (-62.7633,1220.97,-27.5692), [-0.06,0.13,0.01,0.99] ]], #LupoRed: [[vector (-68.8423,1235.05,-29.4001), [-0.06,0.26,0.02,0.96] ]], #TruckRed: [[vector (-53.4225,1187.41,-23.5761), [-0.06,0.13,0.01,0.99] ]], #TruckGreen: [[vector (-84.3501,1138.3,-20.18), [0.00,1.00,0.01,0.00] ]], #Nitro_PickUp: [[vector (-91.8109,1243.43,-29.2537), [-0.10,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(-110.0,1500.0,-40.0012), #StopSign_Object: [[vector (-95.0746,1377.56,-39.7012), [0.00,0.00,0.00,1.00] ]], #ArrowsRight_Object: [[vector (-79.594,1609.29,-19.586), [0.02,0.38,-0.01,0.92] ], [vector (-108.46,1575.95,-20.8561), [0.04,0.39,-0.02,0.92] ]], #ArrowsLeft_Object: [[vector (-41.6992,1599.03,-19.4663), [0.02,-0.71,0.02,0.71] ]], #LupoBlue: [[vector (-95.9749,1444.07,-37.8436), [0.03,-0.13,0.01,0.99] ]], #TransporterRed: [[vector (-107.095,1390.4,-39.9896), [0.00,-0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-104.63,1510.7,-29.9674), [0.02,0.96,-0.06,0.26] ]], #BusGrey: [[vector (-101.015,1421.4,-39.3408), [0.02,-0.13,0.00,0.99] ]], #BusDog: [[vector (-121.418,1481.64,-33.7273), [0.01,0.99,-0.06,0.13] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleExit", #aipath: ["CityDoubleExit"], #direction: "SouthNorth", #position: vector(-54.9997,1750.0,-20.0013), #CrateSmall_Object: [[vector (-43.5382,1838.03,-19.7016), [0.00,0.26,0.00,0.97] ]], #OilDrumNormal_Object: [[vector (-41.3252,1666.04,-19.7013), [0.00,0.00,0.00,1.00] ], [vector (-42.2452,1836.6,-19.7015), [0.00,0.13,0.00,0.99] ]], #VendingMachine_Object: [[vector (-41.126,1864.19,-19.7016), [0.00,-0.71,0.00,0.71] ]], #SheetSmall_Object: [[vector (-43.4688,1865.82,-19.9736), [0.00,0.87,0.00,-0.50] ]], #Dumpster_Object: [[vector (-68.1998,1826.2,-19.7015), [0.00,0.71,0.00,0.71] ], [vector (-67.4194,1838.35,-19.7016), [0.00,0.50,0.00,0.87] ]], #Ramp3_Object: [[vector (-55.6597,1780.06,-20.0014), [0.00,0.00,0.00,1.00] ]], #GarbageBag_Object: [[vector (-63.2945,1837.42,-19.9494), [0.00,0.38,0.00,0.92] ], [vector (-67.6566,1838.48,-16.4064), [0.04,0.38,0.03,0.92] ], [vector (-66.2407,1838.04,-16.5617), [0.04,0.50,0.02,0.87] ]], #ParkingMeter_Object: [[vector (-42.7213,1820.9,-19.7015), [0.00,0.00,0.00,1.00] ], [vector (-67.024,1861.96,-19.7016), [0.00,0.00,0.00,1.00] ]], #PhoneBooth_Object: [[vector (-43.2481,1665.8,-19.7013), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-52.327,1764.35,-20.0014), [0.00,0.00,0.00,1.00] ]], #TruckRed: [[vector (-48.0272,1827.89,-20.0015), [0.00,0.00,0.00,1.00] ]], #TruckGreen: [[vector (-47.7307,1785.04,-20.0015), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-59.4258,1634.08,-18.5012), [-0.10,0.00,0.00,1.00] ]], #Detonator_PickUp: [[vector (-55.3739,1799.16,-16.0351), [-0.10,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(-54.9997,2000.0,-20.0016), #SheetBig_Object: [[vector (-39.514,2123.43,-20.063), [0.00,0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-61.3211,2109.42,-20.0016), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	CityAssets	[#type: "CityCurveDown", #aipath: ["CityCurveDown"], #direction: "SouthNorth", #position: vector(-54.9997,2250.0,-20.0016), #DirectionArrows_Object: [[vector (-95.8013,2257.21,-22.657), [0.01,0.87,0.04,0.50] ]], #LupoBlue: [[vector (-51.8824,2169.94,-20.0016), [0.00,0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-48.1757,2196.47,-20.0016), [0.00,0.00,0.00,1.00] ]], #BusGrey: [[vector (-88.2091,2353.32,-23.5016), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityGrassEntrance", #aipath: ["CityGrassEntrance"], #direction: "SouthNorth", #position: vector(-95.0017,2500.0,-23.5016), #Ramp4_Object: [[vector (-90.9555,2613.93,-14.0409), [0.02,-0.00,0.00,1.00] ]], #ArrowsRight_Object: [[vector (-108.623,2501.12,-23.5016), [0.00,0.71,0.00,0.71] ]], #ArrowsLeft_Object: [[vector (-77.7581,2503.03,-23.5016), [0.00,-0.71,0.00,0.71] ]], #LupoRed: [[vector (-101.645,2399.18,-23.5016), [0.00,1.00,0.00,0.00] ]], #Nitro_PickUp: [[vector (-88.0749,2544.69,-20.993), [-0.10,0.00,0.00,1.00] ]]]
