CityTrack5Data_Begin			
	Name	Pjotrsburg BattleRace	
	GameMode	BattleRace	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[100,100,100]	
	FogRange	[25,600]	
	Skybox	SnowCloudy	
	PlayerCar	[#car: "Player", #position: vector(-4.61031,19.9495,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "CorvetteRival", #position: vector(5.4372,35.4953,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "EclipseRival", #position: vector(-4.63536,49.2874,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "NissanRival", #position: vector(4.55838,64.1546,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack5Data_End			
			
CityTrack5Build_Begin			
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #Pylon_Object: [[vector (8.49675,57.9519,-0.001082), [0.00,0.00,0.00,1.00] ], [vector (7.13757,61.5592,-0.00108176), [0.00,0.27,0.00,0.96] ], [vector (-8.35474,77.5689,-0.00108176), [0.00,0.27,0.00,0.96] ], [vector (-5.7117,79.379,-0.00108126), [0.00,0.52,0.00,0.85] ]], #DirectionArrows_Object: [[vector (12.4711,100.112,0.300006), [0.00,0.71,0.00,0.71] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #OilDrumExplosive_Object: [[vector (-36.8819,181.179,0.300009), [0.00,0.00,0.00,1.00] ], [vector (12.5511,197.243,0.300016), [0.00,0.00,0.00,1.00] ], [vector (-36.0548,215.769,0.300013), [0.00,0.00,0.00,1.00] ], [vector (-28.676,234.408,12.4809), [0.00,0.00,0.00,1.00] ], [vector (-10.0949,235.286,12.4809), [0.00,0.00,0.00,1.00] ], [vector (12.4637,236.314,12.4809), [0.00,0.00,0.00,1.00] ], [vector (11.9904,273.013,0.300023), [0.00,0.00,0.00,1.00] ], [vector (-38.1874,275.392,0.300019), [0.00,0.00,0.00,1.00] ]], #Detonator_PickUp: [[vector (-11.6143,127.494,3.00001), [-0.04,0.96,-0.16,0.24] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(0.0,500.0,0.0), #LupoBlue: [[vector (20.701,464.555,4.25422), [0.06,-0.13,0.00,0.99] ]], #TransporterRed: [[vector (30.5181,499.407,8.56927), [0.06,-0.26,0.02,0.96] ]], #TransporterWhite: [[vector (53.3393,547.978,14.7665), [0.06,0.00,0.00,1.00] ]], #BusGrey: [[vector (59.7594,585.245,18.4845), [0.04,0.00,-0.00,1.00] ]], #TruckRed: [[vector (40.9553,526.081,12.0731), [0.07,-0.13,0.01,0.99] ]], #Nitro_PickUp: [[vector (-11.6192,386.338,1.50003), [-0.04,0.96,-0.16,0.24] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(55.0001,750.0,20.0001), #LupoBlue: [[vector (63.3057,769.331,31.1693), [0.01,0.99,-0.07,0.13] ]], #LupoRed: [[vector (42.7823,729.302,25.9869), [0.01,0.96,-0.06,0.26] ]], #TransporterWhite: [[vector (88.9531,817.513,36.9304), [0.01,0.99,-0.05,0.13] ]], #BusDog: [[vector (76.3663,802.582,35.3453), [0.01,0.96,-0.06,0.26] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(55.0001,1000.0,39.9999), #LupoRed: [[vector (93.3996,991.186,29.7878), [-0.06,0.26,0.02,0.96] ]], #TransporterRed: [[vector (100.084,974.937,31.9307), [-0.06,0.26,0.02,0.96] ]], #CashSmall_PickUp: [[vector (40.9938,1046.78,24.4), [-0.04,0.96,-0.16,0.24] ], [vector (35.8848,1067.97,22.6196), [-0.04,0.96,-0.16,0.24] ], [vector (32.7653,1098.94,21.5728), [-0.04,0.96,-0.16,0.24] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(0.000160217,1250.0,19.9995), #TransporterWhite: [[vector (-11.5128,1278.06,5.05811), [0.01,0.99,0.05,-0.13] ]], #BusGrey: [[vector (-8.5817,1259.27,7.41463), [0.01,0.99,0.06,-0.13] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-54.9998,1500.0,-0.000975284), #ArrowsLeft_Object: [[vector (-30.0018,1605.92,-19.6137), [-0.00,-0.50,-0.00,0.86] ]], #Nitro_PickUp: [[vector (-28.253,1407.61,0.378562), [-0.04,0.96,-0.16,0.24] ]]]
