CityTrack7Data_Begin			
	Name	Pjotrsburg Rampage	
	GameMode	Rampage	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[33,57,81]	
	FogRange	[50,500]	
	Skybox	Night	
	PlayerCar	[#car: "Player", #position: vector(-10.2023,1732.95,0.410859), #orientation: [0.00,0.31,0.00,0.95]]	
CityTrack7Data_End			
			
CityTrack7Build_Begin			
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0)]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(0.0,500.0,0.0), #Pylon_Object: [[vector (-15.4321,614.183,0.0), [-0.00,0.88,-0.01,-0.48] ]], #OilDrumExplosive_Object: [[vector (68.4231,564.657,16.9775), [0.04,0.00,-0.01,1.00] ]], #DirectionArrows_Object: [[vector (-6.20731,530.957,13.3751), [0.06,0.48,-0.03,0.87] ], [vector (-49.1721,550.003,12.6147), [0.00,0.01,0.00,1.00] ], [vector (5.16488,553.221,16.0738), [0.05,0.61,-0.04,0.79] ], [vector (10.4727,578.868,18.5476), [0.03,0.61,-0.02,0.79] ]], #MailBox_Object: [[vector (68.575,570.748,17.4562), [0.04,-0.71,0.02,0.71] ], [vector (68.1285,568.122,17.2264), [0.03,-0.79,0.03,0.61] ]], #GasTank_Object: [[vector (77.6905,622.583,20.4079), [0.01,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityDoubleUp", #aipath: ["CityDoubleUp"], #direction: "SouthNorth", #position: vector(55.0001,750.0,20.0001)]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(55.0001,1000.0,39.9999)]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(0.000160217,1250.0,19.9995)]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-54.9998,1500.0,-0.000975284)]
