JungleTrack3Data_Begin			
	Name	Bogota Jungle Race	
	GameMode	Survivor	
	TargetTime	120000	
	Fog	TRUE	
	FogColor	[100,100,100]	
	FogRange	[25,600]	
	Skybox	CityYellow	
	AICar	[#car: "EclipseRival", #position: vector(0.185942,90.2288,-1.65491), #orientation: [0.00,0.13,-0.00,0.99]]	
	PlayerCar	[#car: "Player", #position: vector(9.40428,79.2177,-1.64463), #orientation: [-0.00,0.13,0.00,0.99]]	
	AICar	[#car: "Corvette", #position: vector(10.1725,93.0456,-1.65246), #orientation: [0.00,0.13,-0.00,0.99]]	
	AICar	[#car: "NissanRival", #position: vector(13.6295,67.1823,-1.59497), #orientation: [-0.00,0.13,-0.00,0.99]]	
JungleTrack3Data_End			
			
JungleTrack3Build_Begin			
	CreateTile	JungleAssets	[#type: "JungleRoadVertical3", #aipath: ["JungleRoadVertical3"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #CrateBig_Object: [[vector (29.1464,-6.57987,-0.500259), [0.01,-0.51,-0.02,0.86] ], [vector (27.2268,-8.74277,-0.582978), [-0.00,-0.15,-0.02,0.99] ], [vector (26.0794,-6.71647,-0.653149), [-0.03,0.24,-0.04,0.97] ], [vector (26.8395,-7.89039,1.31995), [-0.01,0.24,-0.02,0.97] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadCurve2", #aipath: ["JungleRoadCurve2"], #direction: "SouthWest", #position: vector(0.0108739,249.998,-1.33508), #RoadBlock_Object: [[vector (0.957611,210.781,-0.585928), [-0.02,0.87,-0.06,0.50] ], [vector (-9.04146,223.424,-0.502675), [-0.03,0.93,-0.06,0.36] ], [vector (-25.7002,238.547,-0.532639), [-0.02,0.95,-0.07,0.31] ]]]
