JungleTrack6Data_Begin			
	Name	Bali	
	GameMode	BossBattle	
	TargetTime	120000	
	Fog	TRUE	
	FogColor	[255,255,255]	
	FogRange	[25,600]	
	Skybox	JungleSunny	
	PlayerCar	[#car: "Player", #position: vector(37.7654,29.7102,-1.18035), #orientation: [-0.01,0.00,0.03,1.00]]	
	AICar	[#car: "DodgeRamBoss", #position: vector(31.6984,44.6716,-1.29727), #orientation: [-0.02,0.00,0.03,1.00]]	
JungleTrack6Data_End			
			
JungleTrack6Build_Begin			
	CreateTile	JungleAssets	[#type: "JungleBeachVertical1", #aipath: ["JungleBeachVertical1"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (42.2089,102.594,-0.871803), [0.01,-0.00,0.03,1.00] ], [vector (40.6336,101.645,-0.796726), [-0.01,-0.50,0.03,0.87] ], [vector (37.4102,102.301,-0.620953), [0.02,0.87,-0.02,-0.50] ]]]
	CreateTile	JungleAssets	[#type: "JungleBeachOuterCurve1", #aipath: ["JungleBeachOuterCurve1"], #direction: "SouthWest", #position: vector(0.000360489,249.999,-0.00356813), #CrateSmall_Object: [[vector (11.9579,206.758,-0.574802), [-0.03,0.00,0.05,1.00] ]], #OilDrumExplosive_Object: [[vector (8.74022,207.161,-0.284918), [-0.04,-0.34,0.04,0.94] ], [vector (10.0733,206.213,-0.357425), [-0.04,-0.28,0.04,0.96] ], [vector (10.002,208.333,-0.467836), [-0.04,-0.28,0.04,0.96] ]]]
	CreateTile	JungleAssets	[#type: "JungleBeachHorizontal1", #aipath: ["JungleBeachHorizontal1"], #direction: "EastWest", #position: vector(-250.0,250.0,-0.00381813), #CrateSmall_Object: [[vector (-239.298,284.448,-3.69123), [-0.03,0.92,0.03,0.38] ]], #OilDrumNormal_Object: [[vector (-236.902,283.352,-3.54363), [-0.04,-0.00,-0.01,1.00] ], [vector (-237.364,282.464,-1.51228), [-0.04,0.79,0.03,0.61] ]], #OilDrumExplosive_Object: [[vector (-227.592,294.207,-4.10582), [-0.04,0.00,-0.02,1.00] ]], #CrateBig_Object: [[vector (-238.454,282.031,-3.43204), [-0.04,-0.20,-0.02,0.98] ], [vector (-230.998,292.754,-4.10026), [-0.03,-0.20,-0.02,0.98] ]], #Nitro_PickUp: [[vector (-242.879,291.703,-2.93576), [-0.71,0.00,0.00,0.71] ]]]
