JungleTrack106Data_Begin			
	Name	Congo	
	GameMode	Elimination	
	TargetTime	120000	
	Fog	TRUE	
	FogColor	[245,236,200]	
	FogRange	[100,300]	
	Skybox	Yellow	
	PlayerCar	[#car: "Player", #position: vector(49.0889,345.892,1.93884), #orientation: [0.00,-0.03,0.00,1.00]]	
	AICar	[#car: "Mustang", #position: vector(59.326,356.748,1.99543), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Seat", #position: vector(48.5211,365.923,2.00044), #orientation: [0.00,-0.13,0.00,0.99]]	
	AICar	[#car: "FordGT", #position: vector(65.8783,367.88,2.2948), #orientation: [-0.01,0.13,-0.05,0.99]]	
JungleTrack106Data_End			
			
JungleTrack106Build_Begin			
	CreateTile	JungleAssets	[#type: "JungleDirtVertical1", #aipath: ["JungleDirtVertical1"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	JungleAssets	[#type: "JungleDirtHorizontal3", #aipath: ["JungleDirtHorizontal3"], #direction: "SouthNorth", #position: vector(0.00025,250.0,0.000261057), #Dumpster_Object: [[vector (57.9045,294.239,1.29052), [0.01,-0.76,0.01,0.65] ]], #GarbageBag_Object: [[vector (55.636,296.151,1.27057), [-0.01,-0.00,-0.06,1.00] ], [vector (54.2491,297.589,1.08263), [0.01,-0.71,0.01,0.70] ], [vector (54.3592,295.757,1.1164), [0.04,-0.69,-0.03,0.72] ]], #AdSign_Object: [[vector (27.6273,289.434,1.53572), [0.01,0.13,0.00,0.99] ], [vector (31.6795,292.238,1.54623), [0.01,0.36,0.00,0.93] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtOuterCurve1", #aipath: ["JungleDirtOuterCurve1"], #direction: "SouthEast", #position: vector(88.801,493.376,2.3006), #LogBig_Object: [[vector (66.359,416.068,2.49039), [-0.02,0.92,0.01,-0.38] ], [vector (212.284,538.722,4.44548), [0.05,0.38,-0.02,0.92] ]], #LogSmall_Object: [[vector (208.089,538.777,4.30751), [0.04,0.50,-0.02,0.86] ]], #Nitro_PickUp: [[vector (145.505,524.337,4.51212), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtHorizontal2", #aipath: ["JungleDirtHorizontal2"], #direction: "WestEast", #position: vector(338.801,527.531,4.3009), #RoadBlock_Object: [[vector (391.127,487.008,10.1631), [0.00,-0.26,-0.01,0.96] ], [vector (397.1,483.675,10.2537), [0.00,-0.28,-0.01,0.96] ]], #CrateBig_Object: [[vector (368.612,479.6,9.51479), [-0.00,-0.00,-0.02,1.00] ], [vector (368.253,482.322,9.50315), [-0.01,0.38,-0.02,0.92] ], [vector (365.004,481.082,9.36487), [-0.01,0.38,-0.02,0.92] ], [vector (365.846,480.991,11.3272), [-0.01,0.38,-0.02,0.92] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtInnerCurve2", #aipath: ["JungleDirtInnerCurve2"], #direction: "WestNorth", #position: vector(588.801,525.015,8.30117), #Nitro_PickUp: [[vector (596.184,570.718,10.9266), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtVertical2", #aipath: ["JungleDirtVertical2"], #direction: "SouthNorth", #position: vector(600.466,775.015,8.00142), #OilDrumExplosive_Object: [[vector (552.279,897.13,-34.4104), [0.01,0.12,-0.00,0.99] ], [vector (596.627,850.867,-29.9752), [-0.10,0.33,0.03,0.94] ], [vector (593.633,845.921,-28.9651), [-0.09,-0.54,-0.06,0.84] ], [vector (555.905,893.413,-34.5011), [0.01,0.40,-0.00,0.92] ], [vector (554.17,899.249,-34.3528), [0.01,0.40,-0.01,0.92] ]], #CrateBig_Object: [[vector (591.04,855.38,-30.8225), [-0.08,0.38,0.03,0.92] ], [vector (590.026,857.749,-31.2923), [-0.06,0.71,0.06,0.70] ], [vector (590.448,855.044,-28.7413), [-0.06,0.71,0.06,0.70] ]], #Ramp4_Object: [[vector (597.807,689.706,9.36668), [-0.01,-0.02,-0.00,1.00] ]], #TransporterRed: [[vector (578.531,830.011,-25.0568), [0.02,0.98,0.13,-0.13] ]], #TransporterWhite: [[vector (607.181,776.666,-8.68954), [-0.15,0.11,0.01,0.98] ]], #TruckRed: [[vector (598.669,808.707,-18.8533), [-0.15,0.13,0.03,0.98] ]], #Detonator_PickUp: [[vector (596.718,757.024,13.8461), [-0.71,0.00,0.00,0.71] ]], #CashBig_PickUp: [[vector (596.745,749.4,14.2013), [-0.71,0.00,0.00,0.71] ]], #CashSmall_PickUp: [[vector (597.077,716.223,15.1496), [-0.71,0.00,0.00,0.71] ], [vector (597.077,728.246,15.3073), [-0.71,0.00,0.00,0.71] ], [vector (596.818,742.057,14.7014), [-0.71,0.00,0.00,0.71] ], [vector (596.991,735.236,15.0582), [-0.71,0.00,0.00,0.71] ], [vector (597.077,722.292,15.4446), [-0.71,0.00,0.00,0.71] ], [vector (597.163,710.365,14.8482), [-0.71,0.00,0.00,0.71] ], [vector (597.336,703.289,13.5842), [-0.71,0.00,0.00,0.71] ]]]
